date,open,high,low,close
2019-11-26,1.603,1.617,1.596,1.608
2019-11-27,1.605,1.622,1.594,1.611
2019-11-28,1.608,1.62,1.605,1.611
2019-11-29,1.608,1.61,1.585,1.6
2019-12-02,1.605,1.618,1.601,1.606
2019-12-03,1.6,1.613,1.586,1.613
2019-12-04,1.606,1.62,1.602,1.612
2019-12-05,1.615,1.65,1.615,1.648
2019-12-06,1.646,1.662,1.641,1.662
2019-12-09,1.667,1.669,1.65,1.656
2019-12-10,1.651,1.67,1.645,1.67
2019-12-11,1.667,1.669,1.649,1.653
2019-12-12,1.651,1.668,1.651,1.657
2019-12-13,1.67,1.695,1.667,1.693
2019-12-16,1.693,1.716,1.686,1.715
2019-12-17,1.715,1.741,1.713,1.738
2019-12-18,1.734,1.739,1.721,1.725
2019-12-19,1.725,1.73,1.714,1.724
2019-12-20,1.724,1.73,1.705,1.708
2019-12-23,1.703,1.708,1.667,1.671
2019-12-24,1.676,1.706,1.675,1.704
2019-12-25,1.7,1.719,1.697,1.718
2019-12-26,1.716,1.727,1.711,1.726
2019-12-27,1.728,1.737,1.698,1.698
2019-12-30,1.695,1.727,1.684,1.727
2019-12-31,1.72,1.736,1.718,1.73
2020-01-02,1.743,1.771,1.731,1.765
2020-01-03,1.766,1.774,1.751,1.764
2020-01-06,1.756,1.806,1.753,1.788
2020-01-07,1.792,1.823,1.792,1.822
2020-01-08,1.808,1.822,1.789,1.792
2020-01-09,1.811,1.842,1.811,1.839
2020-01-10,1.847,1.847,1.821,1.831
2020-01-13,1.834,1.862,1.82,1.862
2020-01-14,1.864,1.871,1.849,1.85
2020-01-15,1.848,1.856,1.829,1.847
2020-01-16,1.851,1.863,1.842,1.856
2020-01-17,1.861,1.874,1.853,1.858
2020-01-20,1.862,1.911,1.861,1.905
2020-01-21,1.9,1.911,1.881,1.892
2020-01-22,1.882,1.93,1.852,1.918
2020-01-23,1.892,1.918,1.829,1.853
2020-02-03,1.67,1.766,1.669,1.708
2020-02-04,1.716,1.82,1.715,1.816
2020-02-05,1.833,1.896,1.818,1.871
2020-02-06,1.855,1.94,1.836,1.93
2020-02-07,1.932,1.949,1.9,1.94
2020-02-10,1.938,1.966,1.924,1.961
2020-02-11,1.964,1.964,1.935,1.947
2020-02-12,1.943,2.012,1.939,2.006
2020-02-13,2.005,2.01,1.971,1.988
2020-02-14,1.983,2.022,1.965,1.987
2020-02-17,2.005,2.071,2.004,2.071
2020-02-18,2.072,2.09,2.05,2.09
2020-02-19,2.08,2.087,2.052,2.054
2020-02-20,2.062,2.118,2.056,2.105
2020-02-21,2.1,2.162,2.092,2.145
2020-02-24,2.137,2.185,2.127,2.178
2020-02-25,2.145,2.21,2.082,2.195
2020-02-26,2.162,2.176,2.086,2.102
2020-02-27,2.111,2.148,2.076,2.111
2020-02-28,2.041,2.074,1.985,1.995
2020-03-02,2.026,2.071,1.999,2.054
2020-03-03,2.101,2.155,2.066,2.092
2020-03-04,2.077,2.097,2.04,2.088
2020-03-05,2.121,2.131,2.09,2.121
2020-03-06,2.09,2.14,2.087,2.111
2020-03-09,2.068,2.09,2.011,2.013
2020-03-10,2.016,2.068,1.974,2.063
2020-03-11,2.07,2.078,2.017,2.024
2020-03-12,1.996,1.998,1.948,1.971
2020-03-13,1.895,1.978,1.85,1.952
2020-03-16,1.953,1.96,1.83,1.832
2020-03-17,1.863,1.886,1.776,1.842
2020-03-18,1.86,1.907,1.816,1.818
2020-03-19,1.833,1.839,1.768,1.825
2020-03-20,1.847,1.854,1.805,1.847
2020-03-23,1.79,1.816,1.75,1.761
2020-03-24,1.797,1.81,1.748,1.806
2020-03-25,1.845,1.867,1.833,1.86
2020-03-26,1.845,1.874,1.841,1.853
2020-03-27,1.878,1.882,1.828,1.83
2020-03-30,1.807,1.808,1.762,1.791
2020-03-31,1.805,1.813,1.79,1.795
2020-04-01,1.798,1.829,1.79,1.792
2020-04-02,1.786,1.845,1.784,1.844
2020-04-03,1.834,1.854,1.825,1.834
2020-04-07,1.871,1.898,1.866,1.894
2020-04-08,1.886,1.901,1.879,1.89
2020-04-09,1.905,1.925,1.896,1.921
2020-04-10,1.921,1.921,1.868,1.877
2020-04-13,1.872,1.872,1.84,1.853
2020-04-14,1.862,1.91,1.856,1.909
2020-04-15,1.911,1.927,1.899,1.899
2020-04-16,1.893,1.938,1.891,1.932
2020-04-17,1.948,1.969,1.936,1.943
2020-04-20,1.945,1.969,1.94,1.969
2020-04-21,1.96,1.96,1.92,1.949
2020-04-22,1.932,1.967,1.927,1.967
2020-04-23,1.97,1.978,1.947,1.951
2020-04-24,1.951,1.959,1.921,1.93
2020-04-27,1.938,1.957,1.919,1.939
2020-04-28,1.947,1.969,1.89,1.951
2020-04-29,1.943,1.973,1.94,1.952
2020-04-30,1.964,1.999,1.96,1.993
2020-05-06,1.98,2.032,1.974,2.029
2020-05-07,2.03,2.035,2.014,2.025
2020-05-08,2.035,2.058,2.033,2.042
2020-05-11,2.054,2.057,2.01,2.024
2020-05-12,2.021,2.045,2.012,2.043
2020-05-13,2.033,2.063,2.033,2.058
2020-05-14,2.047,2.058,2.035,2.036
2020-05-15,2.047,2.056,2.03,2.042
2020-05-18,2.045,2.057,2.015,2.039
2020-05-19,2.052,2.061,2.046,2.061
2020-05-20,2.061,2.074,2.033,2.041
2020-05-21,2.045,2.058,2.015,2.02
2020-05-22,2.015,2.018,1.96,1.972
2020-05-25,1.968,1.977,1.958,1.975
2020-05-26,1.989,2.038,1.986,2.038
2020-05-27,2.034,2.035,1.986,1.997
2020-05-28,1.99,1.999,1.948,1.982
2020-05-29,1.969,2.012,1.967,2.006
2020-06-01,2.024,2.087,2.02,2.082
2020-06-02,2.083,2.085,2.054,2.067
2020-06-03,2.075,2.085,2.059,2.06
2020-06-04,2.067,2.077,2.057,2.073
2020-06-05,2.069,2.087,2.062,2.087
2020-06-08,2.101,2.111,2.07,2.073
2020-06-09,2.076,2.106,2.068,2.102
2020-06-10,2.102,2.124,2.099,2.122
2020-06-11,2.123,2.161,2.103,2.119
2020-06-12,2.08,2.147,2.078,2.141
2020-06-15,2.143,2.181,2.14,2.141
2020-06-16,2.169,2.188,2.161,2.183
2020-06-17,2.184,2.198,2.171,2.188
2020-06-18,2.187,2.196,2.17,2.194
2020-06-19,2.196,2.253,2.191,2.238
2020-06-22,2.246,2.282,2.245,2.263
2020-06-23,2.26,2.307,2.255,2.307
2020-06-24,2.318,2.318,2.29,2.307
2020-06-29,2.292,2.307,2.28,2.295
