date,open,high,low,close
2019-11-26,1.717,1.725,1.711,1.719
2019-11-27,1.719,1.725,1.71,1.717
2019-11-28,1.715,1.723,1.707,1.713
2019-11-29,1.711,1.712,1.687,1.692
2019-12-02,1.695,1.705,1.694,1.698
2019-12-03,1.697,1.705,1.688,1.705
2019-12-04,1.701,1.706,1.693,1.706
2019-12-05,1.71,1.722,1.71,1.718
2019-12-06,1.72,1.73,1.719,1.728
2019-12-09,1.729,1.733,1.72,1.725
2019-12-10,1.725,1.729,1.72,1.728
2019-12-11,1.73,1.732,1.723,1.729
2019-12-12,1.729,1.732,1.723,1.725
2019-12-13,1.735,1.763,1.735,1.761
2019-12-16,1.763,1.766,1.751,1.763
2019-12-17,1.762,1.802,1.762,1.792
2019-12-18,1.795,1.797,1.781,1.783
2019-12-19,1.786,1.788,1.778,1.783
2019-12-20,1.783,1.793,1.78,1.78
2019-12-23,1.78,1.784,1.755,1.756
2019-12-24,1.756,1.771,1.755,1.768
2019-12-25,1.768,1.775,1.763,1.77
2019-12-26,1.77,1.783,1.766,1.78
2019-12-27,1.781,1.802,1.78,1.781
2019-12-30,1.78,1.812,1.772,1.81
2019-12-31,1.81,1.817,1.803,1.814
2020-01-02,1.827,1.848,1.825,1.836
2020-01-03,1.839,1.844,1.83,1.834
2020-01-06,1.833,1.846,1.813,1.826
2020-01-07,1.828,1.841,1.828,1.838
2020-01-08,1.837,1.837,1.816,1.823
2020-01-09,1.835,1.845,1.834,1.841
2020-01-10,1.846,1.85,1.836,1.843
2020-01-13,1.843,1.863,1.835,1.862
2020-01-14,1.868,1.87,1.853,1.855
2020-01-15,1.854,1.857,1.837,1.841
2020-01-16,1.843,1.846,1.832,1.838
2020-01-17,1.839,1.851,1.834,1.839
2020-01-20,1.84,1.855,1.837,1.853
2020-01-21,1.85,1.85,1.819,1.822
2020-01-22,1.816,1.835,1.79,1.828
2020-01-23,1.817,1.818,1.759,1.779
2020-02-03,1.63,1.68,1.602,1.605
2020-02-04,1.6,1.676,1.6,1.673
2020-02-05,1.672,1.71,1.672,1.692
2020-02-06,1.694,1.737,1.684,1.727
2020-02-07,1.722,1.728,1.705,1.728
2020-02-10,1.72,1.735,1.71,1.73
2020-02-11,1.73,1.758,1.73,1.75
2020-02-12,1.743,1.766,1.743,1.764
2020-02-13,1.761,1.77,1.75,1.757
2020-02-14,1.746,1.774,1.746,1.764
2020-02-17,1.765,1.806,1.765,1.803
2020-02-18,1.801,1.803,1.782,1.795
2020-02-19,1.793,1.807,1.789,1.793
2020-02-20,1.796,1.84,1.795,1.835
2020-02-21,1.835,1.855,1.829,1.841
2020-02-24,1.835,1.84,1.812,1.824
2020-02-25,1.8,1.827,1.782,1.823
2020-02-26,1.798,1.829,1.796,1.806
2020-02-27,1.806,1.82,1.803,1.807
2020-02-28,1.78,1.791,1.743,1.754
2020-03-02,1.757,1.817,1.757,1.808
2020-03-03,1.825,1.839,1.802,1.81
2020-03-04,1.81,1.821,1.797,1.82
2020-03-05,1.837,1.867,1.827,1.861
2020-03-06,1.857,1.857,1.832,1.834
2020-03-09,1.815,1.815,1.771,1.776
